1010 101 10 100
L_KFE_des_th L_KFE_des_thd L_KFE_des_thdd L_KFE_uff L_KFE_vff L_HFE_des_th L_HFE_des_thd L_HFE_des_thdd L_HFE_uff L_HFE_vff
0.300000 0.001379 0.000000 -10.304070 81.127807 1.000000 0.000000 0.000000 50.000000 0.000000
0.300014 0.001379 0.810852 -9.492792 76.859119 1.000000 0.000000 0.000000 50.000000 0.000000
0.300109 0.009488 1.576512 -8.724201 72.507781 1.000000 0.000000 0.000000 50.000000 0.000000
0.300361 0.025253 2.293788 -7.999123 68.478844 1.000000 0.000000 0.000000 50.000000 0.000000
0.300843 0.048191 2.963688 -7.314335 64.757673 1.000000 0.000000 0.000000 50.000000 0.000000
0.301621 0.077827 3.587220 -6.666758 61.329942 1.000000 0.000000 0.000000 50.000000 0.000000
0.302758 0.113700 4.165392 -6.053459 58.181636 1.000000 0.000000 0.000000 50.000000 0.000000
0.304312 0.155354 4.699212 -5.471642 55.299053 1.000000 0.000000 0.000000 50.000000 0.000000
0.306335 0.202346 5.189688 -4.918652 52.668803 1.000000 0.000000 0.000000 50.000000 0.000000
0.308878 0.254243 5.637828 -4.391964 50.277805 1.000000 0.000000 0.000000 50.000000 0.000000
0.311984 0.310621 6.044640 -3.889186 48.113291 1.000000 0.000000 0.000000 50.000000 0.000000
0.315695 0.371067 6.411132 -3.408053 46.162805 1.000000 0.000000 0.000000 50.000000 0.000000
0.320046 0.435179 6.738312 -2.946425 44.414200 1.000000 0.000000 0.000000 50.000000 0.000000
0.325072 0.502562 7.027188 -2.502283 42.855644 1.000000 0.000000 0.000000 50.000000 0.000000
0.330800 0.572834 7.278768 -2.073726 41.475613 1.000000 0.000000 0.000000 50.000000 0.000000
0.337257 0.645621 7.494060 -1.658970 40.262896 1.000000 0.000000 0.000000 50.000000 0.000000
0.344462 0.720562 7.674072 -1.256341 39.206594 1.000000 0.000000 0.000000 50.000000 0.000000
